OM_CATEGORY_LABEL,FSQ_BEST_LABEL,FSQ_BEST_ID,FSQ_BEST_PRIMARY,FSQ_BEST_SECONDARY,BEST_SCORE,FSQ_ALT1_LABEL,ALT1_ID,ALT1_SCORE,FSQ_ALT2_LABEL,ALT2_ID,ALT2_SCORE,NEEDS_REVIEW
car_broker,Business and Professional Services > Financial Service > Stock Broker,11055,Business and Professional Services , Financial Service ,78.7,Business and Professional Services > Financial Service > Business Broker,11047,77.9,Travel and Transportation > Cable Car,19065,53.1,TRUE
car_window_tinting,Dining and Drinking,13000,Dining and Drinking,,56.4,Sports and Recreation > Hunting Area,18079,52.2,Sports and Recreation > Skating,18054,50.5,TRUE
department_of_motor_vehicles,Retail > Department Store,17033,Retail , Department Store,71.2,Community and Government > Government Building > Government Department,12069,57.4,Community and Government > Residential Building > Apartment or Condo,12122,54.6,TRUE
tire_dealer_and_repair,Business and Professional Services > Automotive Service > Tire Repair Shop,11015,Business and Professional Services , Automotive Service ,72.9,Business and Professional Services > Repair Service,11157,59.8,Retail > Arts and Crafts Store,17003,59.1,TRUE
car_rental_agency,Travel and Transportation > Transport Hub > Rental Car Location,19048,Travel and Transportation , Transport Hub ,68.8,Travel and Transportation > Travel Agency,19055,67.6,Business and Professional Services > Real Estate Service > Real Estate Agency,11149,65.9,TRUE
truck_dealer,Travel and Transportation > Truck Stop,19057,Travel and Transportation , Truck Stop,62.1,Dining and Drinking > Food Truck,13054,62.0,Retail > Automotive Retail > Motor Scooter Dealership,17141,56.9,TRUE
bike_repair_maintenance,Business and Professional Services > Home Improvement Service > Swimming Pool Maintenance and Service,11100,Business and Professional Services , Home Improvement Service ,64.9,Travel and Transportation > Bike Rental,19002,58.7,Business and Professional Services > Repair Service,11157,55.7,TRUE
mobile_home_repair,Retail > Computers and Electronics Retail > Mobile Phone Store,17026,Retail , Computers and Electronics Retail ,65.8,Business and Professional Services > Mobile Company,11123,63.1,Business and Professional Services > Shoe Repair Service,11164,60.8,TRUE
trucks_and_industrial_vehicles,Business and Professional Services > Industrial Estate,11106,Business and Professional Services , Industrial Estate,67.1,Business and Professional Services > Industrial Equipment Supplier,11105,61.0,Business and Professional Services,11000,56.2,TRUE
truck_repair,Business and Professional Services > Automotive Service > Tire Repair Shop,11015,Business and Professional Services , Automotive Service ,70.5,Business and Professional Services > Computer Repair Service,11027,70.0,Business and Professional Services > Repair Service,11157,67.3,TRUE
b2b_autos_and_vehicles,Health and Medicine,15000,Health and Medicine,,56.0,Arts and Entertainment,10000,52.9,Retail > Arts and Crafts Store,17003,50.3,TRUE
fire_and_water_damage_restoration,Business and Professional Services > Art Restoration Service,11004,Business and Professional Services , Art Restoration Service,62.7,Arts and Entertainment > Water Park,10055,60.7,Sports and Recreation > Water Sports,18067,59.8,TRUE
auto_security,Business and Professional Services > Security and Safety,11162,Business and Professional Services , Security and Safety,74.5,Retail > Auction House,17004,56.5,Community and Government > Housing Authority,12078,55.2,TRUE
car_stereo_installation,Retail > Stationery Store,17131,Retail , Stationery Store,58.6,Travel and Transportation,19000,58.4,Retail > Eyecare Store,17037,56.7,TRUE
auto_detailing,Retail,17000,Retail,,63.3,Retail > Automotive Retail,17005,61.6,Retail > Fashion Retail,17039,59.1,TRUE
car_auction,Retail > Auction House,17004,Retail , Auction House,78.8,Sports and Recreation,18000,59.5,Travel and Transportation > Transport Hub > Rental Car Location,19048,59.1,TRUE
boat_dealer,Travel and Transportation > Boat Rental,19003,Travel and Transportation , Boat Rental,67.0,Retail > Automotive Retail > Car Dealership,17006,60.3,Travel and Transportation > Boat or Ferry,19064,59.2,TRUE
truck_dealer_for_businesses,Business and Professional Services > Business Center,11021,Business and Professional Services , Business Center,56.9,Business and Professional Services > Business Service,11182,54.6,Business and Professional Services > Technology Business,11167,53.2,TRUE
hybrid_car_repair,Business and Professional Services > Automotive Service > Tire Repair Shop,11015,Business and Professional Services , Automotive Service ,58.1,Business and Professional Services > Repair Service,11157,57.0,Business and Professional Services > Computer Repair Service,11027,56.4,TRUE
furniture_repair,Retail > Furniture and Home Store,17082,Retail , Furniture and Home Store,72.6,Business and Professional Services > Automotive Service > Tire Repair Shop,11015,63.0,Business and Professional Services > Repair Service,11157,60.4,TRUE
diamond_dealer,Community and Government > Education > College and University > College Baseball Diamond,12018,Community and Government , Education ,66.7,Retail > Automotive Retail > Moped Dealership,17140,60.6,Retail > Automotive Retail > Car Dealership,17006,50.7,TRUE
auto_loan_provider,Travel and Transportation > Tourist Information and Service > Tour Provider,19029,Travel and Transportation , Tourist Information and Service ,70.6,Retail > Auction House,17004,51.4,Business and Professional Services > Automotive Service,11009,50.2,TRUE
